"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1749","Failed login with invalid credentials","","2026-07-03","failed","2026-07-03","","Login Flow Challenge","Failed login with invalid credentials",""
"  Como un cliente del sitio
  Quiero completar un proceso de compra completo
  Para adquirir productos exitosamente","11614","Intento de compra con pago cancelado","","2026-07-03","broken","2026-07-03","","Flujo de Compra de Producto en E-commerce","Intento de compra con pago cancelado",""
"  The system must allow student registration by validating data integrity.","2599","Fallo en el registro al intentar enviar el formulario vacío","","2026-07-03","passed","2026-07-03","","Student Enrollment Management","Fallo en el registro al intentar enviar el formulario vacío",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","2131","Failed login with invalid credentials","","2026-07-03","passed","2026-07-03","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","2714","Successful login with valid credentials","","2026-07-03","passed","2026-07-03","","Login Flow Challenge","Successful login with valid credentials",""
"  The system must allow student registration by validating data integrity.","24527","Fallo en el registro por número de teléfono inválido","","2026-07-03","broken","2026-07-03","","Student Enrollment Management","Fallo en el registro por número de teléfono inválido",""
"  Como un cliente del sitio
  Quiero completar un proceso de compra completo
  Para adquirir productos exitosamente","12918","Compra exitosa de un producto único","","2026-07-03","broken","2026-07-03","","Flujo de Compra de Producto en E-commerce","Compra exitosa de un producto único",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","24826","Failed login with invalid credentials","","2026-07-03","failed","2026-07-03","","Login Flow Challenge","Failed login with invalid credentials",""
"  Como un cliente del sitio
  Quiero completar un proceso de compra completo
  Para adquirir productos exitosamente","33731","Validación de campos obligatorios en facturación","","2026-07-03","broken","2026-07-03","","Flujo de Compra de Producto en E-commerce","Validación de campos obligatorios en facturación",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","2978","Failed login with invalid credentials","","2026-07-03","failed","2026-07-03","","Login Flow Challenge","Failed login with invalid credentials",""
"  The system must allow student registration by validating data integrity.","23992","Registro exitoso de un estudiante con información completa","","2026-07-03","broken","2026-07-03","","Student Enrollment Management","Registro exitoso de un estudiante con información completa",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","2113","Failed login with invalid credentials","","2026-07-03","passed","2026-07-03","","Login Flow Challenge","Failed login with invalid credentials",""
